lifecycle_time,day_type,strike_confidence,distance_bucket,n,markets_in_bucket,share,n_weekday,n_weekend
T+3m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T+3m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T+3m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T+3m,weekday,LOW_PROXY,<1bps,94,12,0.1276595744680851,,
T+3m,weekday,LOW_PROXY,1-2bps,94,7,0.07446808510638298,,
T+3m,weekday,LOW_PROXY,2-5bps,94,31,0.32978723404255317,,
T+3m,weekday,LOW_PROXY,5-10bps,94,22,0.23404255319148937,,
T+3m,weekday,LOW_PROXY,>10bps,94,22,0.23404255319148937,,
T+3m,weekday,LOW_PROXY,P(<1bps),94,12,0.1276595744680851,,
T+3m,weekday,LOW_PROXY,P(<2bps),94,19,0.20212765957446807,,
T+3m,weekday,LOW_PROXY,P(<5bps),94,50,0.5319148936170213,,
T+3m,weekend,LOW_PROXY,<1bps,100,35,0.35,,
T+3m,weekend,LOW_PROXY,1-2bps,100,13,0.13,,
T+3m,weekend,LOW_PROXY,2-5bps,100,24,0.24,,
T+3m,weekend,LOW_PROXY,5-10bps,100,17,0.17,,
T+3m,weekend,LOW_PROXY,>10bps,100,11,0.11,,
T+3m,weekend,LOW_PROXY,P(<1bps),100,35,0.35,,
T+3m,weekend,LOW_PROXY,P(<2bps),100,48,0.48,,
T+3m,weekend,LOW_PROXY,P(<5bps),100,72,0.72,,
T+3m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.22234042553191488,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.05553191489361703,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,-0.08978723404255318,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.06404255319148935,94,100
T+3m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.12404255319148937,94,100
T+5m,weekday,ALL,<1bps,100,10,0.1,,
T+5m,weekday,ALL,1-2bps,100,5,0.05,,
T+5m,weekday,ALL,2-5bps,100,22,0.22,,
T+5m,weekday,ALL,5-10bps,100,29,0.29,,
T+5m,weekday,ALL,>10bps,100,34,0.34,,
T+5m,weekday,ALL,P(<1bps),100,10,0.1,,
T+5m,weekday,ALL,P(<2bps),100,15,0.15,,
T+5m,weekday,ALL,P(<5bps),100,37,0.37,,
T+5m,weekend,ALL,<1bps,100,28,0.28,,
T+5m,weekend,ALL,1-2bps,100,13,0.13,,
T+5m,weekend,ALL,2-5bps,100,26,0.26,,
T+5m,weekend,ALL,5-10bps,100,22,0.22,,
T+5m,weekend,ALL,>10bps,100,11,0.11,,
T+5m,weekend,ALL,P(<1bps),100,28,0.28,,
T+5m,weekend,ALL,P(<2bps),100,41,0.41,,
T+5m,weekend,ALL,P(<5bps),100,67,0.67,,
T+5m,weekend_minus_weekday,ALL,<1bps,,,0.18000000000000002,100,100
T+5m,weekend_minus_weekday,ALL,1-2bps,,,0.08,100,100
T+5m,weekend_minus_weekday,ALL,2-5bps,,,0.04000000000000001,100,100
T+5m,weekend_minus_weekday,ALL,5-10bps,,,-0.06999999999999998,100,100
T+5m,weekend_minus_weekday,ALL,>10bps,,,-0.23000000000000004,100,100
T+5m,weekday,HIGH,<1bps,6,1,0.16666666666666666,,
T+5m,weekday,HIGH,1-2bps,6,0,0.0,,
T+5m,weekday,HIGH,2-5bps,6,1,0.16666666666666666,,
T+5m,weekday,HIGH,5-10bps,6,1,0.16666666666666666,,
T+5m,weekday,HIGH,>10bps,6,3,0.5,,
T+5m,weekday,HIGH,P(<1bps),6,1,0.16666666666666666,,
T+5m,weekday,HIGH,P(<2bps),6,1,0.16666666666666666,,
T+5m,weekday,HIGH,P(<5bps),6,2,0.3333333333333333,,
T+5m,weekend,HIGH,<1bps,0,0,,,
T+5m,weekend,HIGH,1-2bps,0,0,,,
T+5m,weekend,HIGH,2-5bps,0,0,,,
T+5m,weekend,HIGH,5-10bps,0,0,,,
T+5m,weekend,HIGH,>10bps,0,0,,,
T+5m,weekend,HIGH,P(<1bps),0,0,,,
T+5m,weekend,HIGH,P(<2bps),0,0,,,
T+5m,weekend,HIGH,P(<5bps),0,0,,,
T+5m,weekend_minus_weekday,HIGH,<1bps,,,,6,0
T+5m,weekend_minus_weekday,HIGH,1-2bps,,,,6,0
T+5m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T+5m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T+5m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T+5m,weekday,LOW_PROXY,<1bps,94,9,0.09574468085106383,,
T+5m,weekday,LOW_PROXY,1-2bps,94,5,0.05319148936170213,,
T+5m,weekday,LOW_PROXY,2-5bps,94,21,0.22340425531914893,,
T+5m,weekday,LOW_PROXY,5-10bps,94,28,0.2978723404255319,,
T+5m,weekday,LOW_PROXY,>10bps,94,31,0.32978723404255317,,
T+5m,weekday,LOW_PROXY,P(<1bps),94,9,0.09574468085106383,,
T+5m,weekday,LOW_PROXY,P(<2bps),94,14,0.14893617021276595,,
T+5m,weekday,LOW_PROXY,P(<5bps),94,35,0.3723404255319149,,
T+5m,weekend,LOW_PROXY,<1bps,100,28,0.28,,
T+5m,weekend,LOW_PROXY,1-2bps,100,13,0.13,,
T+5m,weekend,LOW_PROXY,2-5bps,100,26,0.26,,
T+5m,weekend,LOW_PROXY,5-10bps,100,22,0.22,,
T+5m,weekend,LOW_PROXY,>10bps,100,11,0.11,,
T+5m,weekend,LOW_PROXY,P(<1bps),100,28,0.28,,
T+5m,weekend,LOW_PROXY,P(<2bps),100,41,0.41,,
T+5m,weekend,LOW_PROXY,P(<5bps),100,67,0.67,,
T+5m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.1842553191489362,94,100
T+5m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.07680851063829788,94,100
T+5m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,0.03659574468085108,94,100
T+5m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.0778723404255319,94,100
T+5m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.21978723404255318,94,100
T+10m,weekday,ALL,<1bps,100,3,0.03,,
T+10m,weekday,ALL,1-2bps,100,2,0.02,,
T+10m,weekday,ALL,2-5bps,100,26,0.26,,
T+10m,weekday,ALL,5-10bps,100,27,0.27,,
T+10m,weekday,ALL,>10bps,100,42,0.42,,
T+10m,weekday,ALL,P(<1bps),100,3,0.03,,
T+10m,weekday,ALL,P(<2bps),100,5,0.05,,
T+10m,weekday,ALL,P(<5bps),100,31,0.31,,
T+10m,weekend,ALL,<1bps,100,18,0.18,,
T+10m,weekend,ALL,1-2bps,100,13,0.13,,
T+10m,weekend,ALL,2-5bps,100,24,0.24,,
T+10m,weekend,ALL,5-10bps,100,26,0.26,,
T+10m,weekend,ALL,>10bps,100,19,0.19,,
T+10m,weekend,ALL,P(<1bps),100,18,0.18,,
T+10m,weekend,ALL,P(<2bps),100,31,0.31,,
T+10m,weekend,ALL,P(<5bps),100,55,0.55,,
T+10m,weekend_minus_weekday,ALL,<1bps,,,0.15,100,100
T+10m,weekend_minus_weekday,ALL,1-2bps,,,0.11,100,100
T+10m,weekend_minus_weekday,ALL,2-5bps,,,-0.020000000000000018,100,100
T+10m,weekend_minus_weekday,ALL,5-10bps,,,-0.010000000000000009,100,100
T+10m,weekend_minus_weekday,ALL,>10bps,,,-0.22999999999999998,100,100
T+10m,weekday,HIGH,<1bps,6,0,0.0,,
T+10m,weekday,HIGH,1-2bps,6,0,0.0,,
T+10m,weekday,HIGH,2-5bps,6,2,0.3333333333333333,,
T+10m,weekday,HIGH,5-10bps,6,2,0.3333333333333333,,
T+10m,weekday,HIGH,>10bps,6,2,0.3333333333333333,,
T+10m,weekday,HIGH,P(<1bps),6,0,0.0,,
T+10m,weekday,HIGH,P(<2bps),6,0,0.0,,
T+10m,weekday,HIGH,P(<5bps),6,2,0.3333333333333333,,
T+10m,weekend,HIGH,<1bps,0,0,,,
T+10m,weekend,HIGH,1-2bps,0,0,,,
T+10m,weekend,HIGH,2-5bps,0,0,,,
T+10m,weekend,HIGH,5-10bps,0,0,,,
T+10m,weekend,HIGH,>10bps,0,0,,,
T+10m,weekend,HIGH,P(<1bps),0,0,,,
T+10m,weekend,HIGH,P(<2bps),0,0,,,
T+10m,weekend,HIGH,P(<5bps),0,0,,,
T+10m,weekend_minus_weekday,HIGH,<1bps,,,,6,0
T+10m,weekend_minus_weekday,HIGH,1-2bps,,,,6,0
T+10m,weekend_minus_weekday,HIGH,2-5bps,,,,6,0
T+10m,weekend_minus_weekday,HIGH,5-10bps,,,,6,0
T+10m,weekend_minus_weekday,HIGH,>10bps,,,,6,0
T+10m,weekday,LOW_PROXY,<1bps,94,3,0.031914893617021274,,
T+10m,weekday,LOW_PROXY,1-2bps,94,2,0.02127659574468085,,
T+10m,weekday,LOW_PROXY,2-5bps,94,24,0.2553191489361702,,
T+10m,weekday,LOW_PROXY,5-10bps,94,25,0.26595744680851063,,
T+10m,weekday,LOW_PROXY,>10bps,94,40,0.425531914893617,,
T+10m,weekday,LOW_PROXY,P(<1bps),94,3,0.031914893617021274,,
T+10m,weekday,LOW_PROXY,P(<2bps),94,5,0.05319148936170213,,
T+10m,weekday,LOW_PROXY,P(<5bps),94,29,0.30851063829787234,,
T+10m,weekend,LOW_PROXY,<1bps,100,18,0.18,,
T+10m,weekend,LOW_PROXY,1-2bps,100,13,0.13,,
T+10m,weekend,LOW_PROXY,2-5bps,100,24,0.24,,
T+10m,weekend,LOW_PROXY,5-10bps,100,26,0.26,,
T+10m,weekend,LOW_PROXY,>10bps,100,19,0.19,,
T+10m,weekend,LOW_PROXY,P(<1bps),100,18,0.18,,
T+10m,weekend,LOW_PROXY,P(<2bps),100,31,0.31,,
T+10m,weekend,LOW_PROXY,P(<5bps),100,55,0.55,,
T+10m,weekend_minus_weekday,LOW_PROXY,<1bps,,,0.14808510638297873,94,100
T+10m,weekend_minus_weekday,LOW_PROXY,1-2bps,,,0.10872340425531915,94,100
T+10m,weekend_minus_weekday,LOW_PROXY,2-5bps,,,-0.015319148936170202,94,100
T+10m,weekend_minus_weekday,LOW_PROXY,5-10bps,,,-0.005957446808510625,94,100
T+10m,weekend_minus_weekday,LOW_PROXY,>10bps,,,-0.23553191489361702,94,100
T-5m,weekday,ALL,<1bps,100,10,0.1,,
T-5m,weekday,ALL,1-2bps,100,5,0.05,,
T-5m,weekday,ALL,2-5bps,100,22,0.22,,
T-5m,weekday,ALL,5-10bps,100,29,0.29,,
T-5m,weekday,ALL,>10bps,100,34,0.34,,
T-5m,weekday,ALL,P(<1bps),100,10,0.1,,
T-5m,weekday,ALL,P(<2bps),100,15,0.15,,
T-5m,weekday,ALL,P(<5bps),100,37,0.37,,
T-5m,weekend,ALL,<1bps,100,28,0.28,,
T-5m,weekend,ALL,1-2bps,100,13,0.13,,
T-5m,weekend,ALL,2-5bps,100,26,0.26,,
T-5m,weekend,ALL,5-10bps,100,22,0.22,,
T-5m,weekend,ALL,>10bps,100,11,0.11,,
T-5m,weekend,ALL,P(<1bps),100,28,0.28,,
T-5m,weekend,ALL,P(<2bps),100,41,0.41,,
T-5m,weekend,ALL,P(<5bps),100,67,0.67,,
T-5m,weekend_minus_weekday,ALL,<1bps,,,0.18000000000000002,100,100
T-5m,weekend_minus_weekday,ALL,1-2bps,,,0.08,100,100
T-5m,weekend_minus_weekday,ALL,2-5bps,,,0.04000000000000001,100,100
T-5m,weekend_minus_weekday,ALL,5-10bps,,,-0.06999999999999998,100,100
T-5m,weekend_minus_weekday,ALL,>10bps,,,-0.23000000000000004,100,100
T-5m,weekday,HIGH,<1bps,6,1,0.16666666666666666,,
