market_slug,condition_id,token_ids,identity_source,gamma_status,trade_fetch_status,trade_rows_raw,trade_rows_matched,trade_identity_mismatch_count,trade_error_code,trade_error_endpoint,price_fetch_status,price_points,price_error_code,price_error_endpoint,gamma_error_code,gamma_error_endpoint,cache_used,fetch_status,error_code,error_stage,error_endpoint,error_message,market_start_epoch,sample_group,weekend_et,sample_frame_start,sample_frame_end,local_date,local_hour,time_bucket,week_index
btc-updown-15m-1787144400,0x9ff588a3fa78aa021331b5921151b1ec8a81dcb43c357661f06917655ec5ff0a,"[""61089817759724233697549891742548199845056959314302386517563399424785681465894"", ""96707504258503597331826076231869290098652971396657667565557793034472700226181""]",GAMMA,success,success,1240,1175,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787144400,weekday,False,2026-07-27,2026-09-20,2026-08-19,9,06-12,3
btc-updown-15m-1787252400,0x50b9f0b3a2655e15505dcf565327d0ad823158a4f04cd11ffab8de47791ea7fa,"[""29082295726533990480212997676688362173896396375868455951571619047937292125519"", ""69828053022012305011058689069592799827288521716852817241033038624945408158042""]",GAMMA,success,success,1650,1596,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787252400,weekday,False,2026-07-27,2026-09-20,2026-08-20,15,12-18,3
btc-updown-15m-1787274000,0xb5bac5b9d8e5acf783f37574d0b9a95960dad8b54252c516e347e6f0ed34418d,"[""96130134142585380589598164875912050078764872810076261184365024885646777572261"", ""88168024926615299762915745134404456008926950205482700560123893248136441143968""]",GAMMA,success,success,845,817,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787274000,weekday,False,2026-07-27,2026-09-20,2026-08-20,21,18-24,3
btc-updown-15m-1787360400,0xdc7cb7ddce95a0003a7fd3588dfd75fef9468ae35accfa769a04cf97ab29ec18,"[""22171113886809616986510446997859647020822471447578761281684436883443936437368"", ""35567702661202810649375615357370919680171594277601918814760735758266954322019""]",GAMMA,success,success,697,676,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787360400,weekday,False,2026-07-27,2026-09-20,2026-08-21,21,18-24,3
btc-updown-15m-1787382000,0x4ae27b77ce4b56d459d2509ff09e059ceec01265abfac46178d92d8cd2d09eb2,"[""5484470739750689521363689097162122586365017882973655550836656655610323990120"", ""19333854338915109771869199257526104341726013129782982642293980114686935001336""]",GAMMA,success,success,1428,1398,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787382000,weekend,True,2026-07-27,2026-09-20,2026-08-22,3,00-06,3
btc-updown-15m-1787425200,0x199ea40903560d38ce2dbd0c70ed130ff6182a629e418fc9039d1a3bb9925709,"[""107304798546331173352233501635546530244122444956860566597922169870996938022376"", ""95635882453958432725537662097757644618785766261272890646882960900608435347440""]",GAMMA,success,success,1006,980,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787425200,weekend,True,2026-07-27,2026-09-20,2026-08-22,15,12-18,3
btc-updown-15m-1787446800,0x7e7364f4f95e3d6319b168bcda7892ebdc7942be91edacf07596803bcb917a6b,"[""56008984430488009911830621686085329731089005588962900966874580851750435406206"", ""80190631623574725270232377775486263649723518734812680198036137692326319951707""]",GAMMA,success,success,1017,975,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787446800,weekend,True,2026-07-27,2026-09-20,2026-08-22,21,18-24,3
btc-updown-15m-1787468400,0x50d3f016ef2bbb98620645c71d53a499eb117ce14cfa7b162b9781e7ab826d0d,"[""95295139721637233364239241445156873142619103159521424963571207902071749266913"", ""12755604193114727550084503131633090807504505098696718201745522925011187430360""]",GAMMA,success,success,721,700,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787468400,weekend,True,2026-07-27,2026-09-20,2026-08-23,3,00-06,3
btc-updown-15m-1787490000,0xecbdf32c14593b88945ba1c243a713338c8562afa28ce63ee07ba8fbc81dd30e,"[""10638316223529096791405677531947639118951158736947825657649054729024831116707"", ""98101768755442405299548604325178799804665495343255463394300770316063898235834""]",GAMMA,success,success,950,921,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787490000,weekend,True,2026-07-27,2026-09-20,2026-08-23,9,06-12,3
btc-updown-15m-1787533200,0xcb89614dd527796e4d73f7f76cbe2292bfc542402c07c5967dbcb243f3f25c63,"[""9494848733412533311792188689380776161186481321311982896001821527251048602297"", ""94475747739530188717502719941137453158340024325874483667806359136573093438470""]",GAMMA,success,success,792,768,0,,,success,8,,,,,True,SUCCESS_PUBLIC_HISTORY,,,,,1787533200,weekend,True,2026-07-27,2026-09-20,2026-08-23,21,18-24,3
