slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,observation_sec,threshold_bps,trend_bps,side,signal_ts,entry_delay_sec,execution_model,slippage_cents,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl,zero_fee_net_pnl,shares
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,0,vwap_10s,0.02,0.653277807210607,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.307423411026956
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,first_trade,0,0.61,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,16.39344262295082
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,first_trade,0.01,0.62,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,16.129032258064516
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,first_trade,0.02,0.63,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.873015873015873
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,vwap_5s,0,0.6199880133466984,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,16.129344091702595
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,vwap_5s,0.01,0.6299880133466984,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.873317885648001
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,vwap_5s,0.02,0.6399880133466984,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.625292648383924
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,vwap_10s,0,0.6566335970376003,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.229193335697348
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,vwap_10s,0.01,0.6666335970376003,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.000744103564838
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,5,vwap_10s,0.02,0.6766335970376003,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,14.779047395490625
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,10,first_trade,0,0.64,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.625
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,10,first_trade,0.01,0.65,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.384615384615383
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,10,first_trade,0.02,0.66,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.15151515151515
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,10,vwap_5s,0,0.6629176083829875,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,15.084830865169444
btc-updown-15m-1785524400,2026-07-31,2026-07-27,weekday,12-18,DOWN,btc_open_to_observation,120,0,4.2949356052846,UP,1785524520,10,vwap_5s,0.01,0.6729176083829875,proxy_trade_print,10.0,-10.0,0.1,-10.1,-10.0,14.860660317731725
