observation_sec,threshold_bps,entry_delay_sec,execution_model,slippage_cents,partition,n,trades,no_trades,win_rate,mean_entry,break_even_win_rate,edge_per_share,gross_pnl,fee_estimate,net_pnl,pnl_per_trade,roi,profit_factor,max_drawdown,longest_losing_streak,average_win,average_loss,p10,p5,p1,worst_trade,markets_with_valid_btc,signal_markets,no_trade_markets,no_fill_markets,bootstrap_mean_pnl_low,bootstrap_mean_pnl_high,method_note
60,0,5,vwap_5s,0,development,107,107,,0.7009345794392523,0.5996775908670781,0.5996775908670781,0.10125698857217433,189.5729489947129,10.700000000000001,178.87294899471294,1.671709803688906,0.1671709803688906,1.5534435303054237,57.712985478158004,5,6.694305986596173,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,11,0.20202607570479716,3.0964299909032924,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0,holdout,58,58,,0.6724137931034483,0.5912588147265216,0.5912588147265216,0.08115497837692658,85.76737653502829,5.800000000000001,79.96737653502831,1.3787478712935914,0.13787478712935916,1.4167137912195327,48.25432079207918,3,6.970958372693033,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,8,-1.2312852366111422,3.9786849451173074,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0.01,all,165,165,,0.6909090909090909,0.6067182634964582,0.6067182634964582,0.08419082741263267,242.57821044873555,16.5,226.07821044873558,1.3701709724165794,0.13701709724165792,1.4389015927950604,57.879485683760464,5,6.501563249550312,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,19,0.1281404586658004,2.6091602576075763,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0.01,development,107,107,,0.7009345794392523,0.6096775908670781,0.6096775908670781,0.0912569885721743,168.2275308018371,10.700000000000001,157.52753080183712,1.472219914035861,0.14722199140358608,1.4873995383720209,57.879485683760464,5,6.409700410691162,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,11,0.03194544064276916,2.8735066639379876,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0.01,holdout,58,58,,0.6724137931034483,0.6012588147265217,0.6012588147265217,0.07115497837692657,74.35067964689844,5.800000000000001,68.55067964689846,1.1819082697741115,0.11819082697741114,1.357220842349653,48.48507665900793,3,6.678222555048678,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,8,-1.3838837797242416,3.735709035040987,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0.02,all,165,165,,0.6909090909090909,0.6167182634964582,0.6167182634964582,0.07419082741263268,210.9402402196913,16.5,194.44024021969136,1.1784256983011598,0.11784256983011597,1.3774805673067196,58.2166929192808,5,6.224037194909573,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,19,-0.04138274622648232,2.3917043012819756,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0.02,development,107,107,,0.7009345794392523,0.6196775908670781,0.6196775908670781,0.08125698857217431,147.61361464465077,10.700000000000001,136.9136146446508,1.2795664920060823,0.12795664920060823,1.4236188571926076,58.2166929192808,5,6.134848195262011,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,11,-0.13032676419689138,2.658716329282132,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,5,vwap_5s,0.02,holdout,58,58,,0.6724137931034483,0.6112588147265217,0.6112588147265217,0.061154978376926565,63.326625575040545,5.800000000000001,57.52662557504056,0.991838371983458,0.0991838371983458,1.299773973814698,50.87307492270295,3,6.395554501924117,-10.1,-10.1,-10.1,-10.1,-10.1,73,66,7,8,-1.5312147865752987,3.5011528002035774,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,10,first_trade,0,all,181,181,,0.6740331491712708,0.5927609508895028,0.5927609508895028,0.08127219828176795,264.60860580031215,18.1,246.5086058003122,1.3619259988967525,0.13619259988967525,1.413674451754174,68.8792298513811,5,6.904988572133706,-10.1,-10.1,-10.1,-10.1,-10.1,200,184,16,3,0.16510697221879145,2.538491170810299,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
60,0,10,first_trade,0,development,117,117,,0.7008547008547008,0.5951886935786325,0.5951886935786325,0.10566600727606838,217.45877310669565,11.700000000000001,205.75877310669568,1.7586219923649204,0.17586219923649204,1.5820615929468054,68.8792298513811,5,6.820228940325557,-10.1,-10.1,-10.1,-10.1,-10.1,127,118,9,1,0.30457919818195817,3.0990623570961002,local-date block bootstrap; fee scenario=1% notional; chronological 65/35 date split
