slug,local_date,week,weekday_weekend,et_hour_block,winner,signal_family,side,observation_sec,entry_price,entry_status,notional,gross_pnl,fee_usdc,net_pnl
btc-updown-15m-1788872400,2026-09-08,2026-09-07,weekday,06-12,UP,btc_continuation_120s,UP,180,0.7300000000000001,proxy_trade_print,10.0,3.6986301369862993,0.1,3.598630136986299
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,always_up,UP,180,0.40030522749998304,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,always_down,DOWN,180,0.6086706257905862,proxy_trade_print,10.0,6.429246913322398,0.1,6.3292469133223985
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,random_side,UP,180,0.40030522749998304,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,polymarket_leader,DOWN,180,0.6086706257905862,proxy_trade_print,10.0,6.429246913322398,0.1,6.3292469133223985
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,btc_trend_180s,DOWN,180,0.6086706257905862,proxy_trade_print,10.0,6.429246913322398,0.1,6.3292469133223985
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,btc_ema_1m_3m,UP,180,0.40030522749998304,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,btc_continuation_60s,UP,180,0.40030522749998304,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788915600,2026-09-08,2026-09-07,weekday,18-24,DOWN,btc_continuation_120s,UP,180,0.40030522749998304,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,always_up,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,random_side,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,polymarket_leader,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,btc_trend_180s,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,btc_ema_1m_3m,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,btc_continuation_60s,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788937200,2026-09-09,2026-09-07,weekday,00-06,UP,btc_continuation_120s,UP,180,0.5380669456866373,proxy_trade_print,10.0,8.585047976211982,0.1,8.485047976211982
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,always_up,UP,180,0.3647616553238868,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,always_down,DOWN,180,0.649999805,proxy_trade_print,10.0,5.3846200000013855,0.1,5.284620000001386
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,random_side,DOWN,180,0.649999805,proxy_trade_print,10.0,5.3846200000013855,0.1,5.284620000001386
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,polymarket_leader,DOWN,180,0.649999805,proxy_trade_print,10.0,5.3846200000013855,0.1,5.284620000001386
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,btc_trend_180s,DOWN,180,0.649999805,proxy_trade_print,10.0,5.3846200000013855,0.1,5.284620000001386
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,btc_ema_1m_3m,DOWN,180,0.649999805,proxy_trade_print,10.0,5.3846200000013855,0.1,5.284620000001386
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,btc_continuation_60s,UP,180,0.3647616553238868,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1788958800,2026-09-09,2026-09-07,weekday,06-12,DOWN,btc_continuation_120s,UP,180,0.3647616553238868,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789045200,2026-09-10,2026-09-07,weekday,06-12,DOWN,always_up,UP,180,0.8099040325808107,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789045200,2026-09-10,2026-09-07,weekday,06-12,DOWN,polymarket_leader,UP,180,0.8099040325808107,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789045200,2026-09-10,2026-09-07,weekday,06-12,DOWN,btc_trend_180s,UP,180,0.8099040325808107,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789045200,2026-09-10,2026-09-07,weekday,06-12,DOWN,btc_ema_1m_3m,UP,180,0.8099040325808107,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789045200,2026-09-10,2026-09-07,weekday,06-12,DOWN,btc_continuation_60s,UP,180,0.8099040325808107,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789045200,2026-09-10,2026-09-07,weekday,06-12,DOWN,btc_continuation_120s,UP,180,0.8099040325808107,proxy_trade_print,10.0,-10.0,0.1,-10.1
btc-updown-15m-1789066800,2026-09-10,2026-09-07,weekday,12-18,DOWN,always_down,DOWN,180,0.7199999844,proxy_trade_print,10.0,3.8888891898148206,0.1,3.7888891898148205
