slug,weekday_weekend,week,et_hour_block,time_to_resolution_bin,trade_count,volume_shares,volume_usdc_estimate,median_trade_size,max_no_trade_interval_sec,price_jump_count_5c
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-60s_to_T-30s,19,524.421712,389.0921169961484,15.0,9.0,8
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-30s_to_T-15s,0,0,0,,15,0
btc-updown-15m-1785594600,weekend,2026-07-27,06-12,T-15s_to_settlement,25,1630.3248110000002,167.40315799881571,11.17,6.0,14
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-15m_to_T-10m,571,9057.373437,4600.866564994237,6.666665,6.0,164
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-10m_to_T-5m,500,8601.555173,4468.228169965598,6.275384000000001,9.0,160
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-5m_to_T-2m,218,3668.353112,1536.3509450195916,5.0,6.0,60
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-2m_to_T-1m,88,1525.269279,718.9047930010388,7.5998850000000004,5.0,28
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-60s_to_T-30s,48,703.552152,338.27422100438275,3.125,3.0,9
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-30s_to_T-15s,38,1725.6202,1649.953998,5.0,3.0,2
btc-updown-15m-1785605400,weekend,2026-07-27,12-18,T-15s_to_settlement,5,193.36,191.4264,33.95,6.0,0
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-15m_to_T-10m,118,2528.490831,1238.9527449988575,6.993809000000001,30.0,40
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-10m_to_T-5m,283,8905.141282,5212.631241961002,5.208325,6.0,79
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-5m_to_T-2m,183,4716.4589160000005,2614.6883620151652,2.10526,10.0,34
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-2m_to_T-1m,88,816.84034,471.0328740027231,2.0202,6.0,10
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-60s_to_T-30s,70,887.245843,395.1942929942548,5.970000000000001,4.0,12
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-30s_to_T-15s,40,459.815446,305.9820929984435,2.0202,2.0,8
btc-updown-15m-1785627000,weekend,2026-07-27,18-24,T-15s_to_settlement,15,337.9484,234.239537999,5.0,5.0,4
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-15m_to_T-10m,215,3637.0890210000002,1840.1985789951004,6.16,12.0,86
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-10m_to_T-5m,262,6436.192361,3900.540691015363,5.0287345000000006,6.0,80
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-5m_to_T-2m,128,3288.385792,2124.0925970297585,5.0,30.0,34
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-2m_to_T-1m,1,1.11,1.0989,1.11,33.0,0
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-60s_to_T-30s,2,169.993,169.823007,84.9965,26.0,0
btc-updown-15m-1785648600,weekend,2026-07-27,00-06,T-30s_to_T-15s,0,0,0,,15,0
